Period,Failures,Pressure,Speed,Temperature,Sound,Vibration
98,0,101.82,99.4,81,62.94,125.93
99,0,102.43,99.21,81.45,62.95,127.2
100,0,102.79,99.1,82.04,63.3,127.56
101,0,102.84,98.96,82.23,64.58,130.06
102,0,102.89,98.86,82.56,66.86,140.4
103,0,102.97,98.77,82.68,67.28,142.1
104,0,103.91,98.67,84.1,67.35,142.38
105,0,104.23,98.63,84.3,68.16,145.37
106,0,104.41,98.47,85.34,68.78,151.34
107,0,105.25,98.09,85.57,69.8,151.73
108,0,105.57,97.67,85.85,71.5,154.33
109,0,105.68,97.61,86.32,76.24,154.47
110,0,106.24,97.14,86.53,76.24,154.75
111,0,106.56,96.76,87.26,77.23,157.27
112,0,106.69,96.54,88.42,77.55,159.37
113,0,106.72,96.15,89.53,79.41,166.64
114,0,106.89,95.03,90.34,79.52,168.79
115,1,107.2,94.98,90.39,80.03,182.73
116,0,100,100,80,60,120
117,0,100.09,99.99,80.29,61.07,125.09
118,0,100.2,99.69,80.58,63.56,126.77
119,0,100.25,99.53,80.8,63.82,136.36
120,0,100.5,99.26,81.25,64.32,139.69
121,0,100.53,98.07,81.44,65.14,139.99
122,0,100.64,98.03,82.44,65.99,143.34
123,0,100.8,97.95,82.82,66.51,151.15
124,0,100.87,97.85,83.28,67.27,151.69
125,0,100.87,97.53,83.51,68.03,151.75
126,0,101.08,97.39,84.26,68.58,153.09
127,0,101.11,97.24,85.11,68.6,153.7
128,0,101.24,97.17,85.78,69.02,154.03
129,0,101.25,96.95,85.8,69.49,159.11
130,0,101.85,96.64,86.17,71.01,163.67
131,0,102.1,96.38,86.46,71.5,166.83
132,0,102.13,96.08,86.67,72.22,167.76
133,0,102.79,95.98,86.89,72.4,168.35
134,0,103.27,95.53,87.17,73.23,172.34
135,0,103.71,95.33,87.9,73.56,174.22
136,0,104.45,95.25,87.91,74.74,176.62
137,1,104.64,94.7,88.02,76.22,179.71
138,0,100,100,80,60,120
139,0,102.26,99.44,80.45,60.09,120.9
140,0,102.72,99.39,80.84,61.03,122.91
141,0,102.81,98.5,81.02,63.25,129.22
142,0,103.33,97.3,82.24,66.66,132.55
143,0,104.02,97.28,82.57,67.92,136.61
144,0,104.46,97.22,82.69,68.37,137
145,0,104.85,97.09,83.15,68.86,139.43
146,0,105.21,96.82,83.36,69.56,139.78
147,0,105.31,96.52,83.72,72.24,140.07
148,0,105.78,96.3,83.74,72.25,140.53
149,0,106.34,95.94,83.94,72.49,142.08
150,0,106.46,95.89,83.96,72.96,147.26
151,0,106.85,95.76,85.04,74.99,149.44
152,0,106.93,95.35,86.41,75.2,152.63
153,0,107.17,95.35,86.57,77.31,153.1
154,0,107.51,95.04,86.87,77.58,158.22
155,1,108.13,94.96,87.04,79.51,163.84
156,0,100,100,80,60,120
157,0,100.05,99.58,80.76,60.37,122.85
158,0,100.09,99.18,80.92,61.61,125.81
159,0,100.1,98.96,81.22,61.69,128.66
160,0,100.18,98.89,81.89,62.21,129.19
161,0,100.4,98.73,82.34,63.93,130.14
162,0,100.84,98.72,82.4,64.19,131.97
163,0,100.87,98.27,82.9,65.72,135.61
164,0,101,98.23,83.23,67.45,138.4
165,0,101.45,98.22,83.28,70.67,143.99
166,0,101.55,98.04,84.09,70.7,146.74
167,0,102.64,97.86,84.38,71.58,156.87
168,0,102.9,97.8,84.76,71.94,161.87
169,0,103,97.76,86.12,72.62,162.91
170,0,103.39,97.47,88.37,74.04,167.24
171,0,104.23,96.91,88.89,75.48,170.93
172,0,104.33,96.9,89.5,76.36,173.51
173,0,104.4,96.9,89.53,80.67,174.45
174,0,104.43,96.88,89.62,81.27,174.46
175,0,105.2,96.35,91.74,83.91,175.56
176,0,105.55,96.04,92.43,86.52,178.3
177,0,105.64,95.84,92.75,86.89,179.08
178,0,106.93,95.84,93.4,88.01,179.48
179,0,107.92,95.22,93.58,88.46,180.27
180,1,108.16,94.96,93.71,88.74,183.33
181,0,100,100,80,60,120
182,0,100.67,99.95,80.08,62.95,120.64
183,0,100.93,99.73,80.16,65.18,122.12
184,0,102.53,99.65,80.51,66.04,133.33
185,0,103.11,99.62,80.69,66.31,134.28
186,0,103.29,99.5,81.1,67.9,134.33
187,0,103.69,99.35,81.91,69.11,136.21
188,0,103.75,99.21,82.14,69.11,138.28
189,0,103.81,98.44,82.59,69.62,139.88
190,0,104.08,97.83,83.87,71.08,143.11
191,0,104.33,97.69,85.12,73.71,150.11
192,0,104.33,97.49,85.8,75.09,156.02
193,0,104.77,96.96,86.09,77.89,158.88
194,0,105.01,96.84,86.11,78.24,164.21
195,0,105.11,96.31,86.37,78.31,168.9
196,0,106.12,96.17,86.4,82.33,171.9
197,0,106.26,95.71,86.49,82.81,176.9
198,0,106.4,95.58,86.91,86.11,179.66
199,0,106.94,95.55,87.81,86.77,180.17
200,0,107.3,95.54,88.16,87.96,181.27
201,0,107.96,95.31,88.36,89.55,182.07
202,1,108.36,94.91,89.04,90.26,184.13
203,0,100,100,80,60,120
204,0,100.3,99.98,80.6,62.46,120.03
205,0,100.61,99.91,81.61,63.78,124.81
206,0,100.93,99.63,81.63,64.15,125.1
207,0,101.05,99.61,81.91,64.5,125.85
208,0,101.14,99.55,82.6,68.33,128.33
209,0,101.33,99.54,83.03,68.93,128.61
210,0,101.86,99.34,83.92,69.39,128.76
211,0,101.91,99.03,84.81,70.9,129.99
212,0,102.17,98.82,85.09,72.36,133.92
213,0,102.74,98.41,85.23,73.98,135.03
214,0,103.82,98.36,86.36,74.04,135.56
215,0,103.89,97.58,86.7,75.25,136.19
216,0,104.52,97.56,86.7,76.08,137.32
217,0,105.8,97.23,86.91,77.29,141.84
218,0,105.99,96.89,87.1,77.67,150.76
219,0,106.87,96.46,87.92,77.89,155.38
220,1,106.95,96.41,89.14,78.31,155.46
221,0,100,100,80,60,120
222,0,100.26,98.96,81.28,61.18,121.4
223,0,100.4,98.95,81.64,61.43,124.57
224,0,100.99,98.94,81.76,61.68,127.74
225,0,101.44,98.43,81.77,65.44,133.4
226,0,102.19,98.07,82.47,67.13,139.7
227,0,102.73,97.98,82.8,69.02,143.33
228,0,102.89,97.96,83.25,69.95,151.2
229,0,102.91,97.89,83.31,71.2,151.94
230,0,103.38,97.33,84.05,71.34,152.5
231,0,104.14,97.11,85.91,71.76,152.64
232,0,104.44,97.1,86.45,71.98,153.63
233,0,104.46,96.96,86.55,72.47,156.14
234,0,105.8,96.69,86.96,72.55,156.59
235,0,106.83,96.01,87.28,72.77,156.91
236,0,107.19,95.59,87.57,72.77,157
237,0,107.46,95.25,87.88,73.46,157.15
238,0,107.58,95.22,88.54,74.54,157.16
239,1,107.76,94.81,88.75,75.81,157.37
240,0,100,100,80,60,120
241,0,100.07,99.93,80.85,61.96,120.29
242,0,100.67,99.8,81.17,63.59,123.5
243,0,100.69,99.75,81.33,64.68,124.56
244,0,100.97,99.35,81.52,65.32,126.45
245,0,101.02,99.21,82.25,66.62,126.76
246,0,101.86,99.1,83.01,66.97,129.92
247,0,102.14,98.74,83.25,67.85,131.38
248,0,102.53,98.46,83.37,68.83,134.18
249,0,102.89,98.41,83.42,69.35,135.47
250,0,103.46,98.2,83.44,70.31,137
251,0,103.75,98.07,84.27,70.69,137.72
252,0,104.23,97.98,84.3,72.37,142.7
253,0,104.56,97.92,85.73,74.16,143.77
254,0,105.46,97.45,86.17,74.26,143.98
255,0,105.79,97.41,87.02,74.76,145.82
256,0,106.09,97.07,87.92,74.87,150.55
257,0,106.29,96.83,88.46,75.44,153.49
258,0,106.33,96.17,89.67,75.6,155.16
259,0,107.17,95.95,89.71,76.58,155.53
260,0,107.76,95.56,89.75,78.25,156.74
261,0,107.91,95.46,91.72,78.69,157.22
262,0,108.4,95.05,91.85,79.9,158.79
263,1,109.15,94.75,93.27,81.15,161.03
264,0,100,100,80,60,120
265,0,100.38,99.56,80.17,60.74,121.06
266,0,100.5,99.45,80.38,62.78,121.19
267,0,100.69,99.43,80.4,64.26,123.4
268,0,101,99.42,81.75,65.95,123.76
269,0,101.22,99.06,82.66,65.97,124.33
270,0,101.32,99.03,83.04,66.08,127.11
271,0,101.54,98.69,83.24,66.51,128.01
272,0,102.07,97.83,83.58,67.28,136.08
273,0,102.53,96.73,83.7,68.07,137.43
274,0,103.04,96.27,84.29,69.07,144.24
275,0,103.31,96.2,84.73,71.88,144.48
276,0,103.44,96.18,84.91,74.09,145.72
277,0,103.65,96.07,85.61,78.39,146.5
278,0,103.76,95.91,85.77,80.19,147.82
279,0,104.69,95.71,86.16,80.84,148.02
280,0,105.33,95.39,86.27,81.69,155.82
281,0,105.51,95.37,86.28,83.97,161.59
282,1,106.13,94.63,86.38,85.39,162.38
283,0,100,100,80,60,120
284,0,100.66,99.57,80.31,60.09,121.55
285,0,100.89,99.37,81.05,64.39,122.56
286,1,100.9,99.14,81.62,64.46,122.99
287,0,100,100,80,60,120
288,0,100.07,99.99,80.37,60.14,120.34
289,0,101.49,99.5,80.55,60.84,121.63
290,0,101.85,99.1,80.77,60.9,123.65
291,0,102,98.74,80.8,62.21,129.85
292,1,102.08,98.64,81.94,63.38,131.16
293,0,100,100,80,60,120
294,0,100.17,99.67,80.05,60.53,123.66
295,0,100.52,99.51,80.52,61.12,124.65
296,0,101.57,99.47,82.01,62.2,126.74
297,0,102.55,99.13,82.04,62.81,130.8
298,0,103.16,99.12,83.26,63.55,132.88
299,0,104.44,98.84,83.29,64.74,133.06
300,0,104.88,98.61,83.69,66.36,133.18
301,0,104.94,98.45,83.83,66.85,136.26
302,0,105.88,98.34,84.15,67.18,137.79
303,0,106.02,98.22,84.16,68.27,140.23
304,0,106.4,97.97,84.42,71.3,140.84
305,0,106.79,97.88,84.66,72.29,142.09
306,0,107.21,97.72,84.96,72.31,143
307,0,107.25,97.46,85.06,72.62,144.83
308,1,108.37,97.23,86.3,74.18,148.18
309,0,100,100,80,60,120
310,0,101.04,99.95,80.13,60.2,120.66
311,0,101.14,99.87,82.5,61.06,124.16
312,0,101.24,99.79,83.14,61.44,126.37
313,0,101.93,99.71,84.33,64.72,130.63
314,0,102.49,99.55,84.37,65.72,131.53
315,0,102.59,99.54,84.45,69.57,133.18
316,0,102.65,98.74,84.48,70.28,133.29
317,0,102.7,97.89,85.09,71.44,136.6
318,0,103,97.54,85.91,72.73,138.06
319,0,103.08,97.46,86.11,73.15,138.81
320,0,103.19,96.75,86.74,73.2,153.37
321,0,104.56,96.51,87.08,73.56,154.63
322,0,104.84,96.22,88.43,74.61,157.88
323,0,104.94,95.96,88.58,75.26,160.55
324,0,105.18,95.92,88.67,76.57,162.97
325,0,105.57,95.81,89.36,77,169.28
326,0,105.62,95.56,89.99,80.47,171.77
327,0,105.93,95.5,90.31,82.55,173.59
328,0,106.04,95.36,91.24,83.23,174
329,0,106.87,95.22,91.91,83.65,180.17
330,1,107.07,94.91,92.1,86.9,188.03
331,0,100,100,80,60,120
332,0,100.05,99.32,80.15,60.2,126.86
333,0,100.1,98.97,80.26,63.13,129.44
334,0,100.31,98.91,80.36,63.14,131.9
335,0,100.42,98.5,80.97,63.97,132.22
336,0,100.58,98.35,81,64.38,132.61
337,0,100.8,98.2,81.52,65.58,132.68
338,0,100.83,97.71,84.3,66.55,134.88
339,0,100.83,97.58,84.62,67.81,135.42
340,0,100.98,96.87,85.99,70.9,135.59
341,0,101.22,96.85,86.51,71.15,139.14
342,0,101.76,96.24,86.66,71.57,142.62
343,0,102,96.17,87.14,73.09,143.71
344,0,102.1,95.72,87.28,74.57,143.91
345,0,102.62,95.67,87.65,75.99,145.49
346,0,103.2,95.31,87.78,78.25,147.79
347,1,103.2,94.81,88.05,78.63,150.64
348,0,100,100,80,60,120
349,0,100.22,99.93,80.28,60.45,121.96
350,0,100.23,99.51,80.35,61.15,129.34
351,0,101.18,98.79,81.37,61.98,134.86
352,0,101.52,98.16,82.95,63.59,141.41
353,0,101.8,97.85,83.56,64.11,142.44
354,0,102.31,97.7,83.64,67.12,151.52
355,0,103.26,97.54,83.65,67.25,155.56
356,0,103.73,96.73,83.96,68.11,156.11
357,0,103.75,96.52,84,72.76,156.44
358,0,103.95,96.4,85.21,73.49,156.66
359,0,104.08,96.35,86.8,74.1,161.62
360,0,104.15,95.47,86.83,78.46,162.89
361,0,104.19,95.17,87.08,78.49,164.09
362,0,105.53,95.1,87.23,82.25,164.2
363,1,105.66,94.7,87.99,83.48,166.31
364,0,100,100,80,60,120
365,0,100.22,99.6,80.45,61.57,120.86
366,0,100.33,99.3,80.82,61.74,123.7
367,0,100.57,99.27,81.57,61.85,128.98
368,0,100.59,99.25,82.24,62.03,143.42
369,0,101.23,99.23,82.26,62.31,144.91
370,0,101.42,99.18,82.37,62.72,145.72
371,0,101.83,99.17,83.31,63.49,151.14
372,0,101.89,98.98,83.83,63.63,157.21
373,0,101.97,98.92,83.99,63.97,158.24
374,0,102.62,98.75,87.54,66.18,161.75
375,0,103,98.37,89.22,67.8,163.78
376,0,103.39,98.08,90.33,69.9,163.84
377,0,103.45,97.96,91.44,69.93,165.39
378,0,103.8,97.74,91.61,70.33,167.38
379,0,105.52,97.7,91.82,70.49,168.11
380,0,106.28,97.44,92.1,70.94,170
381,0,106.48,97.35,92.16,71.15,170.81
382,0,106.55,97.22,93.14,71.76,174.44
383,0,107.35,97.13,93.67,71.85,175.48
384,0,107.37,97.05,93.78,72.13,180.84
385,0,107.51,96.79,94.9,73.47,182.28
386,0,108.06,96.11,94.99,74.99,184.12
387,0,108.19,95.91,95.21,76.49,185.7
388,0,108.5,95.67,95.24,76.82,186.82
389,0,108.61,95.38,95.29,76.98,189.83
390,1,109.38,94.8,96.67,78,191.37
391,0,100,100,80,60,120
392,0,100.26,99.05,80.43,61.82,120.98
393,0,100.28,98.59,80.46,63.34,124.58
394,0,100.38,98.45,81.16,64.62,129.47
395,0,100.51,98.16,81.35,65.21,130.23
396,0,100.87,98.09,82.62,65.32,130.78
397,0,101.07,98.06,83.18,65.4,135.54
398,0,101.48,98,83.63,66.08,138.61
399,0,101.71,97.92,83.78,66.5,140.51
400,0,101.88,97.82,84.55,67.46,141.69
401,0,102.33,97.8,85.18,67.85,143.33
402,0,102.66,97.74,85.29,68.41,144.81
403,0,103.76,97.66,85.87,68.71,146.4
404,0,104.47,97.65,86.07,74.77,147.28
405,0,104.83,97.52,86.82,75.41,149.96
406,0,104.91,97.39,87.94,75.92,158.51
407,0,105.07,97.33,88.3,77.42,164.71
408,0,105.64,97.25,89.38,77.49,165.89
409,0,105.64,96.88,89.8,78.3,168.06
410,0,105.84,96.86,90.06,79.2,177.78
411,0,105.84,96.76,90.09,81.47,178.46
412,0,106.53,96.61,90.37,81.78,178.86
413,0,107.42,96.45,90.77,83.78,183.83
414,0,107.53,96.23,91.32,84.6,188.13
415,0,107.85,96.16,91.37,85.62,191.12
416,0,108.25,95.88,91.59,86.39,191.72
417,0,108.39,95.82,91.74,87.22,191.75
418,1,108.62,94.93,92.39,88.82,194.72
419,0,100,100,80,60,120
420,0,100.27,99.95,80.15,60.9,121.43
421,0,100.46,99.6,81.19,62.26,122.41
422,0,100.73,99.06,81.63,62.46,126.55
423,0,100.74,98.48,81.87,64.27,129.41
424,0,100.77,98.05,82.58,64.44,130.25
425,0,101.44,97.61,83.14,64.91,135.12
426,0,101.62,97.33,83.78,65.42,137.66
427,0,102.17,96.85,85.07,69.01,137.96
428,0,102.44,96.52,85.22,69.76,140.79
429,0,102.52,96.46,85.57,71.6,141.65
430,0,102.63,96.38,85.72,71.81,142.83
431,0,103.21,96.03,85.91,73.13,142.89
432,1,103.71,94.8,86.07,75.08,143.93
433,0,100,100,80,60,120
434,0,100.65,99.93,80.03,61.47,122.88
435,0,100.72,99.71,80.51,62.48,123.54
436,0,101.15,99.71,80.63,62.81,126.6
437,0,101.25,98.27,80.89,62.89,127.08
438,0,101.42,98.21,81.11,64.26,132.43
439,0,101.5,96.94,81.26,64.57,135.42
440,1,102.28,96.57,81.44,66.41,135.87
441,0,100,100,80,60,120
442,0,100.33,99.87,80.29,61.01,120.9
443,0,100.91,99.67,80.46,61.48,129.03
444,0,101.28,99.16,80.94,62.22,129.76
445,0,101.42,99.03,81.87,62.74,130.21
446,0,102,98.51,82.04,63.33,130.23
447,0,102.74,98.45,82.42,64.69,132.87
448,0,103.16,98.38,82.58,64.94,133.75
449,0,103.5,98.23,82.69,65.24,134.55
450,0,103.63,97.73,83.25,65.47,138.13
451,0,103.72,97.64,83.97,65.8,142.32
452,0,104.3,97.38,84.54,65.87,142.62
453,0,104.87,97.35,84.69,66.17,145.23
454,0,104.91,96.77,85.1,67.42,148.27
455,0,105.46,95.92,85.78,67.54,148.51
456,0,106.15,95.59,85.98,67.81,152.2
457,0,106.18,95.51,86.04,67.81,152.64
458,0,106.7,95.13,87.23,68.17,156.51
459,1,106.9,94.83,87.81,68.33,158.18
460,0,100,100,80,60,120
461,0,100.24,99.97,80.32,60.31,123.1
462,0,100.44,99.94,81.95,61.58,123.33
463,0,102.15,99.76,82.36,64.65,124.01
464,0,102.36,99.63,82.66,66.95,130.13
465,0,102.39,99.63,84.45,67.37,132.83
466,0,102.46,99.43,84.6,68.17,132.85
467,0,102.53,99.42,86.34,70,133.17
468,0,103.47,99.35,86.36,70.1,138.11
469,0,103.78,98.95,86.44,72.81,141.16
470,0,104.2,98.56,86.87,73.03,141.5
471,0,104.99,98.28,86.96,76.37,143.57
472,0,105.14,98.02,87.2,76.82,144.38
473,0,105.81,98,88.08,77.45,145.46
474,0,106.04,97.04,88.14,78.23,148.89
475,0,106.61,96.53,89.05,78.84,149.76
476,0,106.89,96.24,89.41,80.42,152.42
477,0,106.91,95.77,90.83,81.52,157.42
478,0,107.07,95.65,90.9,84.14,159.84
479,0,107.24,95.61,91.3,85.88,161.48
480,0,107.72,95.46,91.46,86.63,169.72
481,0,107.92,95.29,91.52,86.68,174.55
482,0,107.96,95.15,92.07,87.75,180.27
483,1,108.42,94.77,92.34,91.58,183.31
484,0,100,100,80,60,120
485,0,100.47,99.98,80.72,63.06,124.01
486,0,100.89,99.95,81.35,64.66,124.41
487,0,101.15,99.95,81.36,68.59,131.77
488,0,101.48,99.84,81.47,68.84,131.92
489,0,101.74,99.83,81.56,69.42,135.09
490,0,101.82,99.59,81.82,71.08,136.34
491,0,102.28,99.46,81.95,71.87,138.03
492,0,102.65,99.41,82.12,73.66,139.74
493,0,103.24,98.82,82.51,75.23,139.92
494,0,103.63,98.59,82.9,75.98,140.23
495,0,103.67,98.51,83.3,76.92,140.36
496,0,103.72,98.25,83.98,77.78,142.46
497,0,103.84,97.76,84.78,78.05,142.85
498,0,103.85,97.66,84.79,78.14,148.1
499,0,104.77,97.31,84.87,78.58,149.35
500,0,104.85,97.22,84.89,78.78,157.37
501,0,106.02,96.63,85.01,80.02,165.03
502,0,106.65,96.6,85.17,82.91,165.49
503,0,107.09,96.44,85.28,84.19,167.08
504,0,107.15,96.37,85.79,85.32,171.65
505,0,107.85,96.36,86.51,87.42,172.65
506,0,108.14,96.13,87.48,88.03,173.25
507,0,108.4,95.99,87.71,88.27,176.31
508,0,108.58,95.08,87.87,91.99,176.47
509,0,108.62,95.06,89.1,92.35,176.58
510,1,108.8,94.87,89.61,93.97,177.45
511,0,100,100,80,60,120
512,0,100.12,99.93,80.2,60.29,123.36
513,0,100.29,99.81,80.62,60.67,124.99
514,0,101.5,99.76,81.01,61.86,126.48
515,0,101.54,99.34,81.3,62.59,129.55
516,0,101.57,99.26,81.38,62.66,129.89
517,0,101.59,98.72,82.68,65.44,135.18
518,0,102.23,98.48,84.12,65.75,135.37
519,0,102.77,98.46,85.67,66.65,138.23
520,0,103.13,98.4,86.54,67.45,140
521,1,103.43,97.5,86.95,67.77,140.4
522,0,100,100,80,60,120
523,0,100.06,99.31,80.92,61.44,120.72
524,0,100.32,98.72,82.02,61.93,120.84
525,0,100.39,98.67,82.23,63.07,122.4
526,0,100.48,98.64,83.03,63.22,128.66
527,0,100.48,98.28,84.16,63.61,129.49
528,0,100.54,97.89,86.44,63.68,131.62
529,0,100.58,97.77,87.75,64.68,132.78
530,0,100.82,97.5,88.69,65.7,136.25
531,0,100.85,97.01,89.83,66.32,144.63
532,0,101.6,96.93,90.25,67.71,145.91
533,0,102.16,96.62,90.28,69.4,147.16
534,0,103.15,95.75,91.55,69.56,149.86
535,0,103.18,95.42,93.43,69.69,152.05
536,0,103.38,95,93.73,71.4,152.1
537,1,103.57,93.9,94.43,71.66,159.24
538,0,100,100,80,60,120
539,0,100.23,99.57,81.1,60.6,120.93
540,0,100.25,99.47,81.19,61.71,130.88
541,0,100.55,99.33,82.16,61.76,132.23
542,0,100.57,99.11,82.45,61.79,151.76
543,0,100.85,98.9,82.92,63.57,151.86
544,0,101.05,98.67,85.03,63.83,154.29
545,0,101.18,98.57,85.1,64.35,155.17
546,0,101.21,98.42,85.37,68.52,155.24
547,0,101.34,98.33,85.37,69.3,155.39
548,0,101.65,98,85.68,70.04,156.61
549,0,102.1,97.9,85.74,70.17,157.23
550,0,103.21,97.45,85.75,72.38,160.91
551,0,103.48,97.39,86.14,73.15,161.32
552,0,104.44,96.98,86.67,73.85,161.67
553,0,104.63,96.83,87.3,74.44,161.73
554,0,104.72,96.64,87.5,75.29,162.87
555,0,105.64,96.61,87.56,77.39,164.1
556,0,105.65,96.05,88.22,77.42,168.36
557,0,106.15,95.84,88.27,78.33,170.2
558,0,106.16,95.27,88.51,79.6,170.81
559,0,106.25,95.12,89.58,79.85,171.25
560,0,106.72,95.04,90.51,80.21,171.81
561,1,106.89,94.72,91.22,80.35,173.44
562,0,100,100,80,60,120
563,0,100.11,99.98,80.86,61.02,120.9
564,0,100.44,99.52,81.44,61.19,126.89
565,0,100.48,99.5,81.84,62.23,127.58
566,0,100.82,98.98,82.32,63.89,129.87
567,0,101.12,98.93,82.82,64.51,131.82
568,0,101.2,98.08,82.88,66.38,133.78
569,0,101.23,97.91,82.92,66.64,135.36
570,0,101.63,97.89,83.5,66.77,136.7
571,0,101.97,97.35,83.78,66.86,139.49
572,0,102.58,97.25,83.88,67.3,139.96
573,0,103.1,97.19,84.63,67.77,141.16
574,0,103.52,97.13,84.92,68.19,142.96
575,0,103.56,97.02,85.16,68.37,146.21
576,0,103.73,96.78,86.59,70.11,146.46
577,0,103.78,96.54,87.25,72.62,148.04
578,0,104.02,96.18,87.27,76.21,154.51
579,0,104.12,96.14,87.39,77.52,154.9
580,0,104.28,96.03,88.11,78.06,156.19
581,0,104.52,95.64,88.66,78.4,158.09
582,0,105.11,95.05,88.78,79.06,160.18
583,1,105.18,94.73,88.95,80.98,160.27
584,0,100,100,80,60,120
585,0,100.3,99.45,80.15,62.15,120.91
586,0,100.34,99.4,80.54,62.94,127.55
587,0,101.04,99.28,80.67,63.06,130.64
588,0,101.11,99.23,80.71,63.34,133.3
589,0,101.35,99.19,81.08,63.75,135.63
590,0,101.46,98.88,82.19,66.52,136.3
591,0,102.08,98.69,82.52,66.53,137.47
592,0,102.5,98.64,83.47,68.02,138.54
593,0,102.56,98.34,84.34,70.11,142.5
594,0,102.75,98.23,84.42,71.64,156.78
595,0,103.28,98.18,84.49,71.66,159.3
596,0,103.45,98.14,85.2,71.85,159.98
