Instance, n, Average_p, Average_D, Average_setup 
6.00, 10.00, 3.05, 5.40, 1.87 
7.00, 10.00, 3.27, 6.55, 1.85 
8.00, 10.00, 2.90, 6.00, 1.84 
9.00, 10.00, 2.74, 4.95, 1.88 
10.00, 10.00, 2.95, 5.75, 1.85 
11.00, 10.00, 2.97, 5.80, 2.03 
12.00, 10.00, 3.55, 5.80, 1.93 
13.00, 10.00, 3.15, 6.90, 1.88 
14.00, 10.00, 2.97, 7.10, 1.99 
15.00, 10.00, 2.53, 5.70, 1.85 
1.00, 12.00, 2.50, 5.83, 1.55 
2.00, 12.00, 2.50, 6.38, 1.53 
3.00, 12.00, 2.54, 6.08, 1.63 
4.00, 12.00, 2.32, 5.25, 1.55 
5.00, 12.00, 2.15, 5.92, 1.57 
6.00, 12.00, 2.38, 5.62, 1.47 
7.00, 12.00, 2.51, 5.58, 1.58 
8.00, 12.00, 2.56, 5.17, 1.46 
9.00, 12.00, 2.18, 5.17, 1.49 
10.00, 12.00, 2.42, 6.29, 1.46 
11.00, 12.00, 2.18, 6.42, 1.49 
12.00, 12.00, 2.30, 5.96, 1.55 
13.00, 12.00, 2.53, 6.38, 1.54 
14.00, 12.00, 2.67, 6.33, 1.61 
15.00, 12.00, 2.62, 5.83, 1.57 
1.00, 15.00, 1.89, 6.37, 1.24 
2.00, 15.00, 1.97, 5.73, 1.23 
3.00, 15.00, 1.92, 5.60, 1.25 
4.00, 15.00, 2.05, 6.30, 1.18 
5.00, 15.00, 2.05, 6.90, 1.18 
6.00, 15.00, 2.15, 5.23, 1.19 
7.00, 15.00, 1.97, 6.00, 1.27 
8.00, 15.00, 1.93, 6.13, 1.22 
9.00, 15.00, 2.06, 6.77, 1.18 
10.00, 15.00, 1.74, 6.00, 1.25 
11.00, 15.00, 1.85, 6.07, 1.20 
12.00, 15.00, 1.85, 5.63, 1.23 
13.00, 15.00, 1.85, 5.40, 1.22 
14.00, 15.00, 2.03, 6.17, 1.21 
15.00, 15.00, 1.79, 6.53, 1.19 
1.00, 20.00, 1.58, 5.90, 0.86 
2.00, 20.00, 1.51, 6.60, 0.89 
3.00, 20.00, 1.46, 6.15, 0.89 
4.00, 20.00, 1.49, 5.50, 0.86 
5.00, 20.00, 1.50, 5.80, 0.87 
6.00, 20.00, 1.38, 6.40, 0.87 
7.00, 20.00, 1.47, 6.10, 0.88 
8.00, 20.00, 1.38, 6.35, 0.90 
9.00, 20.00, 1.39, 5.70, 0.89 
10.00, 20.00, 1.49, 6.42, 0.89 
11.00, 20.00, 1.40, 6.35, 0.87 
12.00, 20.00, 1.57, 6.30, 0.87 
13.00, 20.00, 1.34, 6.38, 0.92 
14.00, 20.00, 1.51, 5.55, 0.90 
15.00, 20.00, 1.35, 5.15, 0.86 
1.00, 50.00, 0.55, 5.62, 0.32 
2.00, 50.00, 0.56, 6.21, 0.32 
3.00, 50.00, 0.55, 6.21, 0.32 
4.00, 50.00, 0.57, 6.36, 0.32 
5.00, 50.00, 0.53, 6.03, 0.32 
6.00, 50.00, 0.56, 6.30, 0.32 
7.00, 50.00, 0.57, 5.85, 0.32 
8.00, 50.00, 0.53, 6.21, 0.32 
9.00, 50.00, 0.55, 5.85, 0.32 
10.00, 50.00, 0.56, 6.37, 0.32 
11.00, 50.00, 0.59, 6.37, 0.32 
12.00, 50.00, 0.54, 6.33, 0.32 
13.00, 50.00, 0.57, 5.88, 0.32 
14.00, 50.00, 0.54, 5.88, 0.32 
15.00, 50.00, 0.54, 5.86, 0.32 
1.00, 100.00, 0.25, 5.83, 0.15 
2.00, 100.00, 0.24, 6.11, 0.15 
3.00, 100.00, 0.25, 6.00, 0.15 
4.00, 100.00, 0.25, 6.04, 0.15 
5.00, 100.00, 0.25, 5.88, 0.15 
6.00, 100.00, 0.25, 6.02, 0.15 
7.00, 100.00, 0.25, 5.93, 0.15 
8.00, 100.00, 0.25, 6.03, 0.15 
9.00, 100.00, 0.25, 5.79, 0.15 
10.00, 100.00, 0.26, 6.12, 0.15 
11.00, 100.00, 0.25, 6.12, 0.15 
12.00, 100.00, 0.24, 5.79, 0.15 
13.00, 100.00, 0.25, 6.08, 0.15 
14.00, 100.00, 0.25, 5.97, 0.15 
15.00, 100.00, 0.25, 6.00, 0.15 
