Instance, n, Average_p, Average_D, Average_setup 
1.00, 10.00, 2.50, 10.45, 5.41 
2.00, 10.00, 2.41, 10.15, 5.45 
3.00, 10.00, 2.37, 10.60, 5.49 
4.00, 10.00, 2.56, 10.45, 5.44 
5.00, 10.00, 2.25, 10.65, 5.43 
6.00, 10.00, 2.58, 10.75, 5.45 
7.00, 10.00, 2.43, 10.85, 5.48 
8.00, 10.00, 2.42, 10.35, 5.46 
9.00, 10.00, 2.44, 10.70, 5.45 
10.00, 10.00, 2.37, 10.70, 5.45 
11.00, 10.00, 2.39, 10.30, 5.43 
12.00, 10.00, 2.50, 10.30, 5.46 
13.00, 10.00, 2.60, 10.20, 5.50 
14.00, 10.00, 2.41, 10.25, 5.50 
15.00, 10.00, 2.41, 10.80, 5.46 
1.00, 12.00, 1.95, 10.38, 4.55 
2.00, 12.00, 2.09, 10.46, 4.53 
3.00, 12.00, 1.94, 10.46, 4.53 
4.00, 12.00, 2.00, 9.58, 4.53 
5.00, 12.00, 1.92, 10.75, 4.56 
6.00, 12.00, 2.02, 10.42, 4.54 
7.00, 12.00, 2.08, 10.25, 4.56 
8.00, 12.00, 2.07, 10.67, 4.52 
9.00, 12.00, 2.13, 10.62, 4.51 
10.00, 12.00, 1.98, 10.25, 4.51 
11.00, 12.00, 2.01, 10.58, 4.54 
12.00, 12.00, 1.94, 10.79, 4.47 
13.00, 12.00, 2.01, 10.42, 4.53 
14.00, 12.00, 2.11, 9.96, 4.51 
15.00, 12.00, 1.96, 10.29, 4.52 
1.00, 15.00, 1.62, 10.23, 3.62 
2.00, 15.00, 1.62, 10.43, 3.65 
3.00, 15.00, 1.58, 10.70, 3.63 
4.00, 15.00, 1.58, 10.80, 3.64 
5.00, 15.00, 1.68, 10.70, 3.59 
6.00, 15.00, 1.71, 10.50, 3.62 
7.00, 15.00, 1.64, 10.63, 3.61 
8.00, 15.00, 1.63, 10.90, 3.61 
9.00, 15.00, 1.61, 10.87, 3.61 
10.00, 15.00, 1.65, 10.50, 3.62 
11.00, 15.00, 1.64, 10.43, 3.62 
12.00, 15.00, 1.58, 10.50, 3.62 
13.00, 15.00, 1.59, 10.50, 3.63 
14.00, 15.00, 1.60, 10.47, 3.63 
15.00, 15.00, 1.60, 10.47, 3.61 
1.00, 20.00, 1.21, 10.65, 2.70 
2.00, 20.00, 1.22, 10.60, 2.69 
3.00, 20.00, 1.21, 10.40, 2.69 
4.00, 20.00, 1.18, 10.68, 2.70 
5.00, 20.00, 1.22, 10.43, 2.70 
6.00, 20.00, 1.19, 10.65, 2.69 
7.00, 20.00, 1.26, 10.32, 2.71 
8.00, 20.00, 1.19, 10.57, 2.69 
9.00, 20.00, 1.15, 10.32, 2.70 
10.00, 20.00, 1.18, 10.47, 2.70 
11.00, 20.00, 1.27, 10.65, 2.71 
12.00, 20.00, 1.22, 10.15, 2.70 
13.00, 20.00, 1.23, 10.55, 2.70 
14.00, 20.00, 1.20, 10.70, 2.69 
15.00, 20.00, 1.17, 10.72, 2.71 
1.00, 50.00, 0.47, 10.43, 1.05 
2.00, 50.00, 0.45, 10.53, 1.05 
3.00, 50.00, 0.45, 10.45, 1.05 
4.00, 50.00, 0.45, 10.50, 1.05 
5.00, 50.00, 0.45, 10.66, 1.05 
6.00, 50.00, 0.46, 10.26, 1.05 
7.00, 50.00, 0.44, 10.50, 1.05 
8.00, 50.00, 0.45, 10.43, 1.05 
9.00, 50.00, 0.44, 10.50, 1.05 
10.00, 50.00, 0.44, 10.54, 1.05 
11.00, 50.00, 0.46, 10.58, 1.05 
12.00, 50.00, 0.45, 10.69, 1.05 
13.00, 50.00, 0.44, 10.49, 1.05 
14.00, 50.00, 0.45, 10.59, 1.05 
15.00, 50.00, 0.44, 10.43, 1.05 
1.00, 100.00, 0.20, 10.50, 0.50 
2.00, 100.00, 0.20, 10.52, 0.50 
3.00, 100.00, 0.20, 10.43, 0.50 
4.00, 100.00, 0.20, 10.69, 0.50 
5.00, 100.00, 0.20, 10.47, 0.50 
6.00, 100.00, 0.20, 10.45, 0.50 
7.00, 100.00, 0.20, 10.60, 0.50 
8.00, 100.00, 0.20, 10.43, 0.50 
9.00, 100.00, 0.20, 10.59, 0.50 
10.00, 100.00, 0.20, 10.56, 0.50 
11.00, 100.00, 0.20, 10.54, 0.50 
12.00, 100.00, 0.20, 10.53, 0.50 
13.00, 100.00, 0.20, 10.40, 0.50 
14.00, 100.00, 0.20, 10.52, 0.50 
15.00, 100.00, 0.20, 10.40, 0.50 
