,Instance, n, Average_p, Average_D,Cluster, Average_setup 
109,5.0,50.0,0.45,10.66,0,1.05
110,6.0,50.0,0.46,10.26,0,1.05
111,7.0,50.0,0.44,10.5,0,1.05
112,8.0,50.0,0.45,10.43,0,1.05
113,9.0,50.0,0.44,10.5,0,1.05
114,10.0,50.0,0.44,10.54,0,1.05
115,11.0,50.0,0.46,10.58,0,1.05
116,12.0,50.0,0.45,10.69,0,1.05
117,13.0,50.0,0.44,10.49,0,1.05
118,14.0,50.0,0.45,10.59,0,1.05
119,15.0,50.0,0.44,10.43,0,1.05
120,1.0,100.0,0.2,10.5,2,0.5
121,2.0,100.0,0.2,10.52,2,0.5
122,3.0,100.0,0.2,10.43,2,0.5
123,4.0,100.0,0.2,10.69,2,0.5
124,5.0,100.0,0.2,10.47,2,0.5
125,6.0,100.0,0.2,10.45,2,0.5
126,7.0,100.0,0.2,10.6,2,0.5
127,8.0,100.0,0.2,10.43,2,0.5
128,9.0,100.0,0.2,10.59,2,0.5
129,10.0,100.0,0.2,10.56,2,0.5
130,11.0,100.0,0.2,10.54,2,0.5
131,12.0,100.0,0.2,10.53,2,0.5
132,13.0,100.0,0.2,10.4,2,0.5
133,14.0,100.0,0.2,10.52,2,0.5
134,15.0,100.0,0.2,10.4,2,0.5
